opt_algorithm,minmax,L,threshold,lgs,area,cgal_area,pick_area,ratio,ratio_change,time,is_simple,points,points_on_poly,in_file
simulated_annealing,min,10000,-1,3,621722,621722,-1,0.393060,-1.000000,0.638,1,25,25,uniform-0000025-1
simulated_annealing,max,1000,-1,3,1227298,1227298,-1,0.775912,-1.000000,0.585,1,25,25,uniform-0000025-1
simulated_annealing,max,5000,-1,3,1227298,1227298,-1,0.775912,-1.000000,0.667,1,25,25,uniform-0000025-1
simulated_annealing,max,10000,-1,3,1227298,1227298,-1,0.775912,-1.000000,0.582,1,25,25,uniform-0000025-1
simulated_annealing,min,1000,-1,3,44649276,44649276,-1,0.180298,-1.000000,0.481,1,25,25,london-0000025
simulated_annealing,min,5000,-1,3,44649276,44649276,-1,0.180298,-1.000000,0.734,1,25,25,london-0000025
simulated_annealing,min,10000,-1,3,44649276,44649276,-1,0.180298,-1.000000,0.622,1,25,25,london-0000025
simulated_annealing,max,1000,-1,3,229016520,229016520,-1,0.924789,-1.000000,0.531,1,25,25,london-0000025
simulated_annealing,max,5000,-1,3,229016520,229016520,-1,0.924789,-1.000000,0.587,1,25,25,london-0000025
simulated_annealing,max,10000,-1,3,229016520,229016520,-1,0.924789,-1.000000,0.595,1,25,25,london-0000025
simulated_annealing,min,1000,-1,3,26759610,26759610,-1,0.375790,-1.000000,0.719,1,30,30,us-night-0000030
simulated_annealing,min,5000,-1,3,26759610,26759610,-1,0.375790,-1.000000,0.885,1,30,30,us-night-0000030
simulated_annealing,min,10000,-1,3,26759610,26759610,-1,0.375790,-1.000000,0.833,1,30,30,us-night-0000030
simulated_annealing,max,1000,-1,3,63588386,63588386,-1,0.892983,-1.000000,1.147,1,30,30,us-night-0000030
simulated_annealing,max,5000,-1,3,63588386,63588386,-1,0.892983,-1.000000,0.924,1,30,30,us-night-0000030
simulated_annealing,max,10000,-1,3,63588386,63588386,-1,0.892983,-1.000000,1.123,1,30,30,us-night-0000030
simulated_annealing,min,1000,-1,3,576252,576252,-1,0.271068,-1.000000,1.033,1,30,30,uniform-0000030-1
simulated_annealing,min,5000,-1,3,576252,576252,-1,0.271068,-1.000000,0.911,1,30,30,uniform-0000030-1
simulated_annealing,min,10000,-1,3,576252,576252,-1,0.271068,-1.000000,0.965,1,30,30,uniform-0000030-1
simulated_annealing,max,1000,-1,3,1928848,1928848,-1,0.907329,-1.000000,0.97,1,30,30,uniform-0000030-1
simulated_annealing,max,5000,-1,3,1928848,1928848,-1,0.907329,-1.000000,0.941,1,30,30,uniform-0000030-1
simulated_annealing,max,10000,-1,3,1928848,1928848,-1,0.907329,-1.000000,0.854,1,30,30,uniform-0000030-1
simulated_annealing,min,1000,-1,3,13130268,13130268,-1,0.229381,-1.000000,0.612,1,30,30,euro-night-0000030
simulated_annealing,min,5000,-1,3,13130268,13130268,-1,0.229381,-1.000000,0.677,1,30,30,euro-night-0000030
simulated_annealing,min,10000,-1,3,13130268,13130268,-1,0.229381,-1.000000,0.632,1,30,30,euro-night-0000030
simulated_annealing,max,1000,-1,3,49960728,49960728,-1,0.872794,-1.000000,0.917,1,30,30,euro-night-0000030
simulated_annealing,max,5000,-1,3,49960728,49960728,-1,0.872794,-1.000000,1.058,1,30,30,euro-night-0000030
simulated_annealing,max,10000,-1,3,49960728,49960728,-1,0.872794,-1.000000,1.167,1,30,30,euro-night-0000030
simulated_annealing,min,1000,-1,3,696158,696158,-1,0.279169,-1.000000,0.685,1,30,30,uniform-0000030-2
simulated_annealing,min,5000,-1,3,696158,696158,-1,0.279169,-1.000000,0.695,1,30,30,uniform-0000030-2
simulated_annealing,min,10000,-1,3,696158,696158,-1,0.279169,-1.000000,0.634,1,30,30,uniform-0000030-2
simulated_annealing,max,1000,-1,3,2247402,2247402,-1,0.901240,-1.000000,1.153,1,30,30,uniform-0000030-2
simulated_annealing,max,5000,-1,3,2247402,2247402,-1,0.901240,-1.000000,1.122,1,30,30,uniform-0000030-2
simulated_annealing,max,10000,-1,3,2247402,2247402,-1,0.901240,-1.000000,0.99,1,30,30,uniform-0000030-2
simulated_annealing,min,1000,-1,3,35714994,35714994,-1,0.215518,-1.000000,0.79,1,30,30,london-0000030
simulated_annealing,min,5000,-1,3,35714994,35714994,-1,0.215518,-1.000000,0.775,1,30,30,london-0000030
simulated_annealing,min,10000,-1,3,35714994,35714994,-1,0.215518,-1.000000,0.679,1,30,30,london-0000030
simulated_annealing,max,1000,-1,3,129975496,129975496,-1,0.784323,-1.000000,0.903,1,30,30,london-0000030
simulated_annealing,max,5000,-1,3,129975496,129975496,-1,0.784323,-1.000000,0.943,1,30,30,london-0000030
simulated_annealing,max,10000,-1,3,129975496,129975496,-1,0.784323,-1.000000,1.126,1,30,30,london-0000030
simulated_annealing,min,1000,-1,3,44094224782,44094224782,-1,0.219834,-1.000000,0.825,1,30,30,stars-0000030
simulated_annealing,min,5000,-1,3,44094224782,44094224782,-1,0.219834,-1.000000,0.612,1,30,30,stars-0000030
simulated_annealing,min,10000,-1,3,44094224782,44094224782,-1,0.219834,-1.000000,0.582,1,30,30,stars-0000030
simulated_annealing,max,1000,-1,3,176763539280,176763539280,-1,0.881265,-1.000000,0.922,1,30,30,stars-0000030
simulated_annealing,max,5000,-1,3,176763539280,176763539280,-1,0.881265,-1.000000,0.958,1,30,30,stars-0000030
simulated_annealing,max,10000,-1,3,176763539280,176763539280,-1,0.881265,-1.000000,1.772,1,30,30,stars-0000030
simulated_annealing,min,1000,-1,3,964948,964948,-1,0.273320,-1.000000,0.974,1,35,35,uniform-0000035-2
simulated_annealing,min,5000,-1,3,964948,964948,-1,0.273320,-1.000000,0.857,1,35,35,uniform-0000035-2
simulated_annealing,min,10000,-1,3,964948,964948,-1,0.273320,-1.000000,1.109,1,35,35,uniform-0000035-2
simulated_annealing,max,1000,-1,3,3051554,3051554,-1,0.864349,-1.000000,1.585,1,35,35,uniform-0000035-2
simulated_annealing,max,5000,-1,3,3051554,3051554,-1,0.864349,-1.000000,1.513,1,35,35,uniform-0000035-2
simulated_annealing,max,10000,-1,3,3051554,3051554,-1,0.864349,-1.000000,2.354,1,35,35,uniform-0000035-2
simulated_annealing,min,1000,-1,3,82529916938,82529916938,-1,0.339082,-1.000000,0.846,1,35,35,stars-0000035
simulated_annealing,min,5000,-1,3,82529916938,82529916938,-1,0.339082,-1.000000,0.862,1,35,35,stars-0000035
simulated_annealing,min,10000,-1,3,82529916938,82529916938,-1,0.339082,-1.000000,0.908,1,35,35,stars-0000035
simulated_annealing,max,1000,-1,3,212133834024,212133834024,-1,0.871572,-1.000000,1.261,1,35,35,stars-0000035
simulated_annealing,max,5000,-1,3,212133834024,212133834024,-1,0.871572,-1.000000,1.501,1,35,35,stars-0000035
simulated_annealing,max,10000,-1,3,212133834024,212133834024,-1,0.871572,-1.000000,1.499,1,35,35,stars-0000035
simulated_annealing,min,1000,-1,3,1066992,1066992,-1,0.304986,-1.000000,0.919,1,35,35,uniform-0000035-1
simulated_annealing,min,5000,-1,3,1066992,1066992,-1,0.304986,-1.000000,1.051,1,35,35,uniform-0000035-1
simulated_annealing,min,10000,-1,3,1066992,1066992,-1,0.304986,-1.000000,1.127,1,35,35,uniform-0000035-1
simulated_annealing,max,1000,-1,3,3039866,3039866,-1,0.868907,-1.000000,1.292,1,35,35,uniform-0000035-1
simulated_annealing,max,5000,-1,3,3039866,3039866,-1,0.868907,-1.000000,1.207,1,35,35,uniform-0000035-1
simulated_annealing,max,10000,-1,3,3039866,3039866,-1,0.868907,-1.000000,1.335,1,35,35,uniform-0000035-1
simulated_annealing,min,1000,-1,3,48379874,48379874,-1,0.207727,-1.000000,1.322,1,35,35,london-0000035
simulated_annealing,min,5000,-1,3,48379874,48379874,-1,0.207727,-1.000000,1.058,1,35,35,london-0000035
simulated_annealing,min,10000,-1,3,48379874,48379874,-1,0.207727,-1.000000,1.099,1,35,35,london-0000035
simulated_annealing,max,1000,-1,3,204633748,204633748,-1,0.878630,-1.000000,1.371,1,35,35,london-0000035
simulated_annealing,max,5000,-1,3,204633748,204633748,-1,0.878630,-1.000000,1.192,1,35,35,london-0000035
simulated_annealing,max,10000,-1,3,204633748,204633748,-1,0.878630,-1.000000,1.169,1,35,35,london-0000035
simulated_annealing,min,1000,-1,3,12239766,12239766,-1,0.248525,-1.000000,0.901,1,35,35,euro-night-0000035
simulated_annealing,min,5000,-1,3,12239766,12239766,-1,0.248525,-1.000000,0.897,1,35,35,euro-night-0000035
simulated_annealing,min,10000,-1,3,12239766,12239766,-1,0.248525,-1.000000,1.081,1,35,35,euro-night-0000035
simulated_annealing,max,1000,-1,3,44280114,44280114,-1,0.899095,-1.000000,1.44,1,35,35,euro-night-0000035
simulated_annealing,max,5000,-1,3,44280114,44280114,-1,0.899095,-1.000000,1.639,1,35,35,euro-night-0000035
simulated_annealing,max,10000,-1,3,44280114,44280114,-1,0.899095,-1.000000,1.318,1,35,35,euro-night-0000035
simulated_annealing,min,1000,-1,3,24355744,24355744,-1,0.290175,-1.000000,3.453,1,35,35,us-night-0000035
simulated_annealing,min,5000,-1,3,24355744,24355744,-1,0.290175,-1.000000,2.514,1,35,35,us-night-0000035
simulated_annealing,min,10000,-1,3,24355744,24355744,-1,0.290175,-1.000000,2.269,1,35,35,us-night-0000035
simulated_annealing,max,1000,-1,3,74756252,74756252,-1,0.890649,-1.000000,1.948,1,35,35,us-night-0000035
simulated_annealing,max,5000,-1,3,74756252,74756252,-1,0.890649,-1.000000,1.48,1,35,35,us-night-0000035
simulated_annealing,max,10000,-1,3,74756252,74756252,-1,0.890649,-1.000000,1.347,1,35,35,us-night-0000035
simulated_annealing,min,1000,-1,3,64428330,64428330,-1,0.271113,-1.000000,1.359,1,40,40,london-0000040
simulated_annealing,min,5000,-1,3,64428330,64428330,-1,0.271113,-1.000000,1.461,1,40,40,london-0000040
simulated_annealing,min,10000,-1,3,64428330,64428330,-1,0.271113,-1.000000,1.11,1,40,40,london-0000040
simulated_annealing,max,1000,-1,3,197169824,197169824,-1,0.829686,-1.000000,1.932,1,40,40,london-0000040
simulated_annealing,max,5000,-1,3,197169824,197169824,-1,0.829686,-1.000000,2.203,1,40,40,london-0000040
simulated_annealing,max,10000,-1,3,197169824,197169824,-1,0.829686,-1.000000,2.135,1,40,40,london-0000040
simulated_annealing,min,1000,-1,3,1613066,1613066,-1,0.333921,-1.000000,1.815,1,40,40,uniform-0000040-1
simulated_annealing,min,5000,-1,3,1613066,1613066,-1,0.333921,-1.000000,1.644,1,40,40,uniform-0000040-1
simulated_annealing,min,10000,-1,3,1613066,1613066,-1,0.333921,-1.000000,1.573,1,40,40,uniform-0000040-1
simulated_annealing,max,1000,-1,3,4107024,4107024,-1,0.850195,-1.000000,2.322,1,40,40,uniform-0000040-1
simulated_annealing,max,5000,-1,3,4107024,4107024,-1,0.850195,-1.000000,2.253,1,40,40,uniform-0000040-1
simulated_annealing,max,10000,-1,3,4107024,4107024,-1,0.850195,-1.000000,2.368,1,40,40,uniform-0000040-1
simulated_annealing,min,1000,-1,3,86592827996,86592827996,-1,0.408506,-1.000000,1.979,1,40,40,stars-0000040
simulated_annealing,min,5000,-1,3,86592827996,86592827996,-1,0.408506,-1.000000,1.506,1,40,40,stars-0000040
simulated_annealing,min,10000,-1,3,86592827996,86592827996,-1,0.408506,-1.000000,1.583,1,40,40,stars-0000040
simulated_annealing,max,1000,-1,3,176045589874,176045589874,-1,0.830503,-1.000000,1.991,1,40,40,stars-0000040
simulated_annealing,max,5000,-1,3,176045589874,176045589874,-1,0.830503,-1.000000,2.117,1,40,40,stars-0000040
simulated_annealing,max,10000,-1,3,176045589874,176045589874,-1,0.830503,-1.000000,2.092,1,40,40,stars-0000040
